,清华大学,北京
,北京大学,北京
,浙江大学,浙江
,上海交通大学,上海
,复旦大学,上海
,中国科学技术大学,安徽
,南京大学,江苏
,华中科技大学,湖北
,中山大学,广东
,哈尔滨工业大学,黑龙江
,同济大学,上海
,东南大学,江苏
,武汉大学,湖北
,北京航空航天大学,北京
,南开大学,天津
,四川大学,四川
,西安交通大学,陕西
,天津大学,天津
,华南理工大学,广东
,北京师范大学,北京
,厦门大学,福建
,山东大学,山东
,大连理工大学,辽宁
,吉林大学,吉林
,北京理工大学,北京
,中南大学,湖南
,对外经济贸易大学,北京
,苏州大学,江苏
,中国人民大学,北京
,西北工业大学,陕西
,湖南大学,湖南
,华东理工大学,上海
,华东师范大学,上海
,电子科技大学,四川
,重庆大学,重庆
,南京航空航天大学,江苏
,北京科技大学,北京
,上海财经大学,上海
,南京理工大学,江苏
,中国农业大学,北京
,北京交通大学,北京
,北京化工大学,北京
,首都医科大学,北京
,福州大学,福建
,武汉理工大学,湖北
,中央财经大学,北京
,北京邮电大学,北京
,东华大学,上海
,华中师范大学,湖北
,上海大学,上海
,西安电子科技大学,陕西
,北京协和医学院,北京
,天津医科大学,天津
,华北电力大学,北京
,东北大学,辽宁
,东北师范大学,吉林
,暨南大学,广东
,兰州大学,甘肃
,江南大学,江苏
,南京医科大学,江苏
,中国海洋大学,山东
,上海外国语大学,上海
,中国地质大学（北京）,北京
,西南财经大学,四川
,中国地质大学（武汉）,湖北
,华中农业大学,湖北
,南方医科大学,广东
,合肥工业大学,安徽
,中国医科大学,辽宁
,西南大学,重庆
,南京农业大学,江苏
,中国药科大学,江苏
,中南财经政法大学,湖北
,哈尔滨工程大学,黑龙江
,中国石油大学（北京）,北京
,浙江工业大学,浙江
,东北财经大学,辽宁
,河海大学,江苏
,中国矿业大学,江苏
,北京工业大学,北京
,中国石油大学（华东）,山东
,广东外语外贸大学,广东
,南京师范大学,江苏
,中国政法大学,北京
,北京中医药大学,北京
,西南交通大学,四川
,华南师范大学,广东
,中国传媒大学,北京
,北京林业大学,北京
,江苏大学,江苏
,深圳大学,广东
,汕头大学,广东
,首都经济贸易大学,北京
,西北农林科技大学,陕西
,浙江师范大学,浙江
,安徽大学,安徽
,大连医科大学,辽宁
,浙江理工大学,浙江
,南京邮电大学,江苏
,华侨大学,福建
